Kernel,Time,Speedup
3,0.885254,0.6962713526287371
3,0.685861,0.8986908426051341
3,0.670943,0.9186726741317817
3,0.672959,0.915920583571956
3,0.670737,0.9189548213383187
3,0.677845,0.9093185020174227
5,1.475962,0.5425071919195752
5,1.046248,0.765325238375605
5,0.990128,0.8087035211609004
5,0.989539,0.8091848830617085
5,0.991325,0.8077270320026227
5,1.009308,0.7933356319379218
7,2.422172,0.4503156670954829
7,1.587124,0.6872443488977548
7,1.455102,0.7495983099466568
7,1.454284,0.7500199410844101
7,1.458818,0.747688882369151
7,1.45549,0.7493984843592193
9,3.563795,0.41144510276264495
9,2.027633,0.7231614399647275
9,2.046109,0.7166314209067064
9,2.042536,0.7178850213655965
9,2.044893,0.717057567315258
9,2.047422,0.7161718492816821
11,4.997316,0.391881962237329
11,2.865409,0.6834479824695183
11,2.799879,0.6994437973926731
11,2.806972,0.6976763572988972
11,2.801073,0.6991456488281454
11,2.80063,0.6992562387748471
13,6.665899,0.4032411832222481
13,3.646121,0.7372122318485865
13,3.680599,0.7303063984965491
13,3.683511,0.7297290546980856
13,3.693759,0.72770448748822
13,3.689527,0.72853918673044
15,8.610155,0.3854714578308985
15,4.639233,0.7154133021557658
15,4.702152,0.7058404322106134
15,4.706909,0.705127080213363
15,4.83207,0.6868627730972441
15,5.438618,0.6102596284570823
