Kernel,Time,Speedup
3,0.5208674,1.0362986817758226
3,0.45930060000000006,1.1752090025573667
3,0.4244606,1.2716709159813657
3,0.4248806,1.2704138527388638
3,0.4334698,1.245240614225028
3,0.425621,1.2682038715194974
5,0.6828253999999999,1.0126641451826486
5,0.5314218,1.3011750741125034
5,0.45974919999999997,1.5040217579497692
5,0.4596766,1.5042592988200836
5,0.4634874,1.4918912574538163
5,0.4632408,1.4926854456688616
7,0.9348243999999999,1.0052940423891377
7,0.6551525999999999,1.4344343592622546
7,0.5202472,1.8063978047359024
7,0.5256656,1.7877780094417441
7,0.5249286,1.7902880506034535
7,0.5321138,1.7661135644292631
9,1.2527908,1.0108621487322544
9,0.812295,1.559038034211709
9,0.6013238000000001,2.1060180887568394
9,0.6054448,2.0916833376056747
9,0.610261,2.075175703510465
9,0.6076773999999999,2.083998516318034
11,1.6775806000000002,0.9947576885426548
11,1.0219874,1.6328833408317953
11,0.7101846,2.3497921526318652
11,0.7151841999999999,2.333365586096561
11,0.714821,2.334551167355184
11,0.7132842,2.3395810533865746
13,2.1575142,0.9982979486299557
13,1.2597678,1.7097134884698593
13,0.8347355999999999,2.580268530538293
13,0.8433820000000001,2.553815471518244
13,0.8461337999999999,2.545509941808258
13,0.8458224,2.5464471028433393
15,2.7121122,0.9980075308093818
15,1.5381715999999999,1.759692091571578
15,0.9810902,2.758878235660697
15,0.9946126,2.7213695060770395
15,1.0085162,2.6838521780810263
15,0.9922660000000001,2.7278052457707913
