Kernel,Time,Speedup
3,0.5249881999999999,0.9977321395033261
3,0.46439340000000007,1.1279178386256132
3,0.44716659999999997,1.1713701336369935
3,0.4275323999999999,1.2251646892726729
3,0.430563,1.2165411333533072
3,0.425715,1.230394982558754
5,0.6969758,0.9782508947943386
5,0.5558091999999999,1.2267108928747494
5,0.5054466,1.3489401254257127
5,0.4791256,1.4230448133015645
5,0.483922,1.408940283764739
5,0.480065,1.4202601731015592
7,0.948387,0.9807705082418885
7,0.6779458,1.3720123349093687
7,0.5508795999999999,1.6884814758070548
7,0.5409851999999999,1.719363117512272
7,0.5509053999999999,1.6884024008477683
7,0.5444172,1.7085242714594613
9,1.2732573999999999,0.9973752361462812
9,0.8387128,1.5141242627988984
9,0.6256344,2.0298043074357803
9,0.6350794000000001,1.9996167408358698
9,0.6421688000000001,1.977541419016308
9,0.634109,2.002676826854689
11,1.6967869999999998,0.9994048752141547
11,1.0457291999999998,1.6216217353402775
11,0.7457524,2.273914505672392
11,0.7499356,2.2612304309863402
11,0.7543092,2.248119471431609
11,0.7457062000000001,2.2740553853514958
13,2.1766075999999996,1.0045807062329473
13,1.2812698,1.7065710906477307
13,0.8814772,2.4805837292218107
13,0.8844628,2.4722102501088794
13,0.8875694,2.4635572159202423
13,0.8809190000000001,2.48215556708392
15,2.7298694,1.017367570770968
15,1.5597026,1.780647541396674
15,1.0198272000000002,2.7232854742450483
15,1.040859,2.668258236706413
15,1.0528534,2.6378606936160343
15,1.0348654,2.6837119107470406
