Kernel,Time,Speedup
3,0.5223717999999999,1.0029607264404399
3,0.5213902,1.0048489595700112
3,0.5210018,1.005598061273493
3,0.521131,1.005348751081782
3,0.5226848000000001,1.0023601221998422
3,0.5283199999999999,0.991668685645064
5,0.6911146,1.0054265963994973
5,0.689151,1.0082913613997513
5,0.6881314,1.0097853404160892
5,0.6925511999999999,1.0033409804213753
5,0.7045318,0.9862791147255524
5,0.6938283999999999,1.001494029359421
7,0.9417778,1.015998678244486
7,0.9606336000000001,0.9960561446112233
7,0.9593271999999999,0.9974125616369474
7,0.9442716000000001,1.0133154486484608
7,0.9496781999999999,1.0075465562966488
7,0.9614192000000001,0.9952422418857455
9,1.2909342000000001,0.9863738988400801
9,1.3066514,0.9745091919696408
9,1.2764532,0.9975640313330719
9,1.2637816000000002,1.007566338994016
9,1.2629768000000001,1.0082083851421497
9,1.2674232,1.0046713678588177
11,1.6746375999999998,1.0082834638371907
11,1.6763328000000002,1.007263832098256
11,1.6708028,1.0105976599991333
11,1.6677879999999998,1.0124244808093115
11,1.6724218,1.0096193436368743
11,1.673293,1.0090936853258814
13,2.1547432,0.9993972367565658
13,2.1542394,0.9996309602358959
13,2.153987,0.9997480950442135
13,2.1535729999999997,0.9999402852840374
13,2.153568,0.9999426068738021
13,2.1672508,0.9936295328625556
15,2.7595438000000003,0.9821268283547447
15,2.7609953999999997,0.9816104728026713
15,2.7240544,0.9949221278400315
15,2.760299,0.9818581247901045
15,2.8157908,0.9625082942951587
15,2.7159855999999998,0.9978778974380426
