Kernel,Time,Speedup
3,0.5111024,1.025075209977492
3,0.38499320000000004,1.3608510487977452
3,0.3177124,1.6490335284364102
3,0.2928056,1.7893045761419868
3,0.2819198,1.8583951889863717
3,0.2780096,1.8845334837358136
5,0.6904866000000001,1.006341035437907
5,0.468996,1.4816011223976322
5,0.35974140000000004,1.9315680652824498
5,0.3132226,2.2184382608406925
5,0.29014460000000003,2.394892064163868
5,0.2820338,2.46376498136039
7,0.9380088000000001,1.0200810482801441
7,0.6066421999999999,1.5772806441754303
7,0.4229718,2.2621957303063702
7,0.3441974,2.779930934980915
7,0.3065602,3.121230348884167
7,0.2885276,3.316303189019006
9,1.2576851999999998,1.012450333358459
9,0.7694736,1.6548245449876382
9,0.516925,2.4633047347294097
9,0.38267059999999997,3.3275192815962344
9,0.3254622,3.91241686438548
9,0.2941046,4.329560979325042
11,1.6843416000000002,1.0024744386768099
11,0.9762328,1.7296175666295988
11,0.6084068,2.775296725809113
11,0.43348700000000007,3.8951788634953286
11,0.344805,4.896998013369876
11,0.3035492,5.562555921741845
13,2.1586261999999996,0.9975994917508184
13,1.2117654,1.777113292721512
13,0.7243116,2.9730911392279236
13,0.48684380000000005,4.4232758022182885
13,0.37240399999999996,5.78254905962342
13,0.31429340000000006,6.8517009902212385
15,2.7199026,0.9964408284326064
15,1.4940414,1.814020682425534
15,0.8606465999999999,3.1490532815676033
15,0.5512872000000001,4.916170736414704
15,0.3995718,6.782816004532854
15,0.3248278,8.343565421432526
