Kernel,Time,Speedup
3,0.64762,0.9952101541027146
3,0.561542,1.1477645483329832
3,0.563493,1.1437906060944856
3,0.573594,1.123648434258378
3,0.564443,1.1418655205220014
3,0.561471,1.147909687232288
5,0.827216,1.0066258389586276
5,0.657852,1.26578166517697
5,0.649745,1.2815750794542475
5,0.662179,1.2575104314694365
5,0.661116,1.2595323664833402
5,0.65184,1.2774561242022584
7,1.139515,0.9980096795566533
7,0.803644,1.4151129106917988
7,0.801658,1.4186186628213027
7,0.788847,1.4416572541950465
7,0.804188,1.4141556451973916
7,0.807403,1.40852461534079
9,1.530463,1.0096650490733852
9,0.992334,1.5571924372237573
9,1.001087,1.543577131657888
9,0.993495,1.55537269940966
9,0.986746,1.5660109085823506
9,0.994802,1.553329205208675
11,2.039014,1.0009823375415765
11,1.256859,1.6239029198979362
11,1.246785,1.6370240257943431
11,1.243607,1.6412073910809446
11,1.264725,1.6138030006523156
11,1.253216,1.628623477517044
13,2.617101,0.9978774223845394
13,1.549013,1.6859419514232612
13,1.536806,1.6993335528362072
13,1.561648,1.6723013124596582
13,1.546783,1.688372577148831
13,1.551128,1.68364312938713
15,3.275475,1.0019536097817874
15,1.905443,1.7223679742715998
15,1.99758,1.6429249391764036
15,1.892459,1.734184994232372
15,1.873441,1.7517893544552512
15,1.879516,1.7461271944479324
