Kernel,Time,Speedup
3,8.9822374,1.0632816718916824
3,7.8694418,1.2136373382925332
3,7.3634556,1.2970334743377825
3,7.3840734,1.2934118991829089
3,7.399846599999999,1.2906549170897679
3,7.358731000000001,1.2978662217711179
5,12.383928800000001,1.0039097447007284
5,9.740033,1.2764173180932754
5,8.4901804,1.464320687461482
5,8.5296998,1.4575362663994342
5,8.554788599999998,1.453261720576006
5,8.541362000000001,1.4555461763592268
7,17.0786846,0.9856625609211143
7,12.036472800000002,1.398567527191188
7,9.6526554,1.7439574192195855
7,9.760745199999999,1.7246449584607533
7,9.7664154,1.7236436615219128
7,9.7685034,1.7232752357950754
9,23.0703862,0.9897263271648221
9,15.0055228,1.5216643168207376
9,11.1053154,2.0560756518450614
9,11.268910199999999,2.0262268661968754
9,11.326319000000002,2.01595669343235
9,11.335268199999998,2.0143650945991736
11,30.969331599999997,0.9871866656624905
11,18.837082000000002,1.6229961307170608
11,13.0336366,2.34566239172266
11,13.3478984,2.290436313180208
11,13.3614694,2.288109958924128
11,13.342317600000001,2.291394352657292
13,39.9358802,0.991272524901054
13,23.2106852,1.705565366075449
13,15.2749626,2.59164895107501
13,15.7668714,2.510792394742308
13,15.7912426,2.5069173973680834
13,15.743428999999997,2.514531033868163
15,50.32983359999999,0.9936447753326171
15,28.4229578,1.7594923284162918
15,17.9536852,2.785499224415498
15,18.6562864,2.6805965092817186
15,18.642734599999997,2.682545091855784
15,18.63937,2.683029319123983
