Kernel,Time,Speedup
3,7.5980288,1.1110875231217865
3,5.567828,1.5162241003134433
3,4.5674472,1.8483136488145937
3,4.032864200000001,2.0933199287989903
3,3.7898928000000005,2.2275234275755764
3,3.6694240000000002,2.300653999101766
5,10.315202600000001,1.040861514440831
5,6.9177942,1.5520405912046356
5,5.2172964,2.057904434948338
5,4.3716856,2.4559628441715935
5,3.9576664,2.7128859067050217
5,3.7517047999999997,2.861818285916312
7,13.776929599999999,1.0160126535015466
7,8.678397200000001,1.6129170487840772
7,6.0909126,2.2981014043774
7,4.8125476,2.908549891537696
7,4.171876800000001,3.3552128864399826
7,3.8570712,3.62905792353535
9,18.1214972,1.0139091156331168
9,10.940544000000001,1.679400146829993
9,7.195935199999999,2.553323604136958
9,5.3496572,3.4345287021381483
9,4.438793200000001,4.139312279743061
9,3.9827033999999997,4.613336559282824
11,23.745511,0.998455699689933
11,13.6762036,1.7335834924247546
11,8.569813,2.766552875774536
11,6.043267800000001,3.9231822227040802
11,4.779021,4.961024611526084
11,4.1523054,5.709801788664196
13,30.074564799999997,0.9994754570812611
13,16.8129428,1.787836297165063
13,10.132433800000001,2.9665912448399117
13,6.8165318,4.409689601976184
13,5.1569964,5.828739651631326
13,4.325173599999999,6.949730156495916
15,37.446406999999994,0.9968105618250641
15,20.4780388,1.8227807049569613
15,12.0081546,3.108468806689082
15,7.721064200000001,4.834433833615838
15,5.5944899999999995,6.672095937252548
15,4.528838599999999,8.242063207993327
